"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-03-01",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-03-02",,,"0.00","0.0","1.0",,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-03-03",,,"0.02",,,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-03-04",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-03-05",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-03-06",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-03-07",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-03-08",,,"1.25",,,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-03-09",,,"0.60",,,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-03-10",,,"0.80",,,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-03-11",,,"0.35",,,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-03-12",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-03-13",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-03-14",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-03-15",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-03-17",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-03-18",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-03-19",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-03-20",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-04-15",,,"1.00",,,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-04-16",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-04-17",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-04-18",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-04-19",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-04-20",,,"0.19",,,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-04-21",,,"0.88","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-04-22",,,"0.07",,,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-04-23",,,"0.50",,,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-04-24",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-04-25",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-04-26",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-04-27",,,"0.04",,,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-04-28",,,"0.02",,,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-04-29",,,"0.04",,,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-04-30",,,"0.02",,,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-05-01",,,"0.05",,,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-05-02",,,"0.14",,,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-05-03",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-05-04",,,"0.40",,,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-05-05",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-05-06",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-05-07",,,"0.41",,,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-05-08",,,"0.18",,,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-05-09",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-05-10",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-05-11",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-05-12",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-05-13",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-05-14",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-05-15",,,"0.25",,,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-05-16",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-05-17",,,"0.15",,,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-05-18",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-05-19",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-05-20",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-05-22",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-05-23",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-05-24",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-05-25",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-05-26",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-05-27",,,"0.12",,,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-05-28",,,"0.09",,,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-05-29",,,"0.35",,,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-05-30",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-05-31",,,"0.16",,,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-06-01",,,"0.08",,,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-06-02",,,"0.15",,,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-06-03",,,"0.26",,,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-06-04",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-06-05",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-06-06",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-06-07",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-06-08",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-06-09",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-06-10",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-06-11",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-06-12",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-06-13",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-06-14",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-06-15",,,"0.12",,,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-06-16",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-06-17",,,"0.10",,,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-06-18",,,"0.40",,,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-06-19",,,"0.05",,,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-06-20",,,"0.65",,,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-06-21",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-06-22",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-06-23",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-06-24",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-06-25",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-06-26",,,"0.55",,,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-06-28",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-06-29",,,"0.20",,,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-06-30",,,"0.14",,,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-07-01",,,"0.24",,,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-07-02",,,"0.14",,,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-07-03",,,"0.72",,,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-07-04",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-07-05",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-07-06",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-07-07",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-07-08",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-07-09",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-07-10",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-07-11",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-07-12",,,"0.80",,,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-07-13",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-07-14",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-07-15",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-07-16",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-07-17",,,"0.03",,,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-07-18",,,"0.63",,,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-07-19",,,"0.01",,,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-07-20",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-07-21",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-07-22",,,"0.03",,,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-07-23",,,"0.43",,,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-07-24",,,"0.37",,,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-07-25",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-07-26",,,"0.34",,,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-07-27",,,"0.15",,,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-07-28",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-07-29",,,"0.05",,,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-07-30",,,"0.34",,,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-07-31",,,"0.68",,,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-08-01",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-08-02",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-08-03",,,"0.09",,,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-08-04",,,"0.00","0.0",,,,
"US1OHSM0004","MACEDONIA 0.7 NNW, OH US","2009-08-05",,,"0.01",,,,,
