"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1950-01-01","0.01","0.0","0.0",,"48","41"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1950-01-02","0.48","0.0","0.0",,"55","47"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1950-01-03","0.53","0.0","0.0",,"61","52"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1950-01-04","0.70","0.0","0.0",,"57","28"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1950-01-05","0.08","0.4","0.0",,"32","24"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1950-01-06","1.08","1.4","1.0",,"35","31"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1950-01-07","0.09","0.7","2.0",,"31","22"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1950-01-08","0.00","0.0","1.0",,"32","11"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1950-01-09","0.00","0.0","0.0",,"48","31"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1950-01-10","0.78","0.0","0.0",,"60","30"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1950-01-11","0.00","0.0","0.0",,"35","21"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1950-01-12","0.01","0.0","0.0",,"42","22"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1950-01-13","0.30","0.0","0.0",,"62","39"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1950-01-14","0.07","0.0","0.0",,"59","25"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1950-01-15","1.08","0.0","0.0",,"56","21"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1950-01-16","0.00","0.0","0.0",,"43","22"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1950-01-17","0.00","0.0","0.0",,"44","18"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1950-01-18","0.03","0.0","0.0",,"44","17"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1950-01-19","0.01","0.2","0.0",,"20","9"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1950-01-20","0.01","0.1","0.0",,"25","14"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1950-01-21","0.00","0.0","0.0",,"41","23"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1950-01-22","0.00","0.0","0.0",,"43","37"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1950-01-23","0.02","0.0","0.0",,"46","35"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1950-01-24","0.87","0.0","0.0",,"64","36"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1950-01-25","0.00","0.0","0.0",,"73","62"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1950-01-26","0.63","0.0","0.0",,"69","27"
"USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US","1950-01-27","0.00","0.0","0.0",,"34","20"
